Driver,LapNumber,Stint,Compound,TyreLife,FreshTyre,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Position,RaceElapsedTime,AirTemp,Humidity,TrackTemp,WindSpeed,WindDirection,TrackStatus,Year,PitStopNextLap,LapsRemaining
ALO,28.0,2.0,3,3.0,1,-0.28287487544770923,4.512605807650718,5.090140713580786,5.419671245328164,110.0,225.0,180.0,162.0,8.0,2475.493,28.8,30.3,43.4,0.5,184,4,2021,0,25.0
ALO,29.0,2.0,3,4.0,1,-0.28287487544770923,3.5559463059486727,6.093315096976689,4.315489667272168,107.0,237.0,217.0,130.0,8.0,2631.443,28.7,32.1,43.7,0.1,150,4,2021,0,24.0
ALO,30.0,2.0,3,5.0,1,5.668782821561762,1.8427996207225037,6.556026011906394,3.7341267894734544,144.0,132.0,312.0,183.0,8.0,2782.485,29.0,28.5,44.9,0.3,162,41,2021,0,23.0
ALO,31.0,2.0,3,6.0,1,-0.16367690189655468,-0.31615670688098946,-0.0688719900316562,-0.11035418079843011,323.0,328.0,314.0,343.0,8.0,2924.907,29.3,27.6,44.8,0.4,152,1,2021,0,22.0
ALO,32.0,2.0,3,7.0,1,-0.24877983827740702,-0.26900781174759936,-0.25005683955705904,-0.17081783957072771,318.0,321.0,317.0,331.0,8.0,3013.187,29.3,28.1,44.7,0.5,151,12,2021,0,21.0
ALO,33.0,2.0,3,8.0,1,-0.2834673642452972,-0.27027072858152945,-0.2574278767424763,-0.23919935842034853,319.0,332.0,313.0,336.0,8.0,3100.677,29.4,28.0,44.6,0.3,152,1,2021,0,20.0
ALO,34.0,2.0,3,9.0,1,-0.3431471449478187,-0.3090001781553851,-0.3087873616473145,-0.2761493721145309,315.0,327.0,313.0,333.0,8.0,3187.845,29.4,28.1,44.4,0.1,247,1,2021,0,19.0
ALO,35.0,2.0,3,10.0,1,-0.3610295341113897,-0.3153147623250358,-0.31996280512197867,-0.29750360080792115,311.0,318.0,310.0,321.0,8.0,3274.459,29.4,27.8,44.1,0.1,0,1,2021,0,18.0
ALO,36.0,2.0,3,11.0,1,-0.33496002701750965,-0.26795538105265704,-0.3304249224174089,-0.28286755642256356,312.0,317.0,309.0,309.0,8.0,3360.907,29.4,27.8,43.9,0.5,157,1,2021,0,17.0
ALO,37.0,2.0,3,12.0,1,-0.357582326561786,-0.2934242038702477,-0.3537269109390485,-0.28070814003783856,311.0,319.0,311.0,315.0,8.0,3447.597,29.4,27.5,44.0,0.4,154,1,2021,0,16.0
ALO,38.0,2.0,3,13.0,1,-0.38354410841974196,-0.2978444127890024,-0.3924843000107556,-0.2943844438077626,312.0,318.0,311.0,319.0,8.0,3534.077,29.4,26.7,43.4,0.6,158,1,2021,0,15.0
ALO,39.0,2.0,3,14.0,1,-0.38515998695861897,-0.3047904553756182,-0.36585345598602476,-0.3169383482704451,311.0,317.0,310.0,320.0,8.0,3620.316,29.4,27.5,43.3,0.7,155,1,2021,0,14.0
ALO,40.0,2.0,3,15.0,1,-0.3974406638540841,-0.30310656626371163,-0.37013341306142816,-0.34189160427171034,313.0,318.0,310.0,323.0,8.0,3706.54,29.3,26.8,42.7,0.6,165,1,2021,0,13.0
ALO,41.0,2.0,3,16.0,1,-0.4235101709479657,-0.3001597603178749,-0.39700203247923727,-0.3762023312734505,311.0,319.0,311.0,319.0,8.0,3792.65,29.2,23.5,42.1,0.3,176,12,2021,0,12.0
ALO,42.0,2.0,3,17.0,1,-0.4074591107951214,-0.3136308732131292,-0.36846898530988215,-0.3538883619646266,314.0,318.0,311.0,321.0,8.0,3878.518,29.2,24.0,41.6,0.4,335,1,2021,0,11.0
ALO,43.0,2.0,3,18.0,1,-0.2821746614141956,-0.24501239190292742,-0.34516699678824253,-0.1765762832633268,310.0,317.0,310.0,323.0,8.0,3964.535,29.4,22.9,40.5,0.2,169,12,2021,0,10.0
ALO,44.0,2.0,3,19.0,1,1.6997542291363215,1.0252714568917576,2.019033736585889,0.40406678907381083,184.0,193.0,310.0,321.0,8.0,4051.715,29.4,25.4,40.4,0.4,235,2671,2021,0,9.0
ALO,45.0,2.0,3,20.0,1,-0.3474561543848245,-0.2675344087746806,-0.329711596238175,-0.31189971003942013,313.0,317.0,310.0,332.0,8.0,4157.293,29.4,25.7,39.6,0.4,206,1,2021,0,8.0
ALO,46.0,2.0,3,21.0,1,-0.3582286779773368,-0.25679961568627513,-0.35182470779442504,-0.32581594896320276,311.0,313.0,310.0,320.0,8.0,4243.867,29.4,25.5,39.4,0.3,188,1,2021,0,7.0
ALO,47.0,2.0,3,22.0,1,-0.3724484091194543,-0.24311801665203223,-0.3677556591306482,-0.35700751896478516,311.0,313.0,310.0,319.0,8.0,4330.341,29.4,26.8,39.0,0.5,176,1,2021,0,6.0
ALO,48.0,2.0,3,23.0,1,-0.38365183365566763,-0.28226843850386507,-0.3789311026053124,-0.3260558841170614,311.0,314.0,310.0,320.0,8.0,4416.683,29.5,26.6,38.8,0.3,201,1,2021,0,5.0
ALO,49.0,2.0,3,24.0,1,-0.4070282098514204,-0.2890039949514922,-0.4155485131393178,-0.333493873886669,312.0,314.0,308.0,319.0,8.0,4502.921,29.6,27.2,38.5,0.6,156,1,2021,0,4.0
ALO,50.0,2.0,3,25.0,1,-0.42426424759944065,-0.28858302267351577,-0.40294641730618586,-0.38507993196620816,311.0,316.0,310.0,321.0,8.0,4588.942,29.6,27.6,38.3,0.5,158,1,2021,0,3.0
ALO,51.0,2.0,3,26.0,1,-0.41898571103911014,-0.25974642163211187,-0.4255350796485924,-0.3834003858892004,312.0,316.0,312.0,320.0,8.0,4674.803,29.5,29.0,38.1,0.4,186,1,2021,0,2.0
ALO,52.0,2.0,3,27.0,1,-0.4661693643743152,-0.3268914999693949,-0.43908827705403564,-0.39827636542841577,316.0,318.0,311.0,324.0,8.0,4760.713,29.5,29.6,37.8,0.4,188,1,2021,0,1.0
ALO,53.0,2.0,3,28.0,1,-0.4619680801732366,-0.32099788807772145,-0.44336823412943904,-0.3913182459665244,311.0,328.0,307.0,319.0,8.0,4846.185,29.5,29.3,37.6,0.2,161,1,2021,0,0.0
BOT,1.0,1.0,3,1.0,1,3.3644322998873353,-0.27258607611040114,0.45185612080907095,5.765417802038004,316.0,323.0,314.0,236.0,17.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021,0,52.0
BOT,2.0,1.0,3,2.0,1,-0.18619147620490692,-0.28626767514464335,-0.14163126031351056,-0.12115126272205498,320.0,322.0,316.0,339.0,15.0,121.173,29.0,34.6,44.9,0.1,0,1,2021,0,51.0
BOT,3.0,1.0,3,3.0,1,-0.3505801862266529,-0.2850047583107132,-0.3311382485966428,-0.29750360080792115,311.0,315.0,314.0,336.0,14.0,209.244,29.2,34.1,44.8,0.2,221,1,2021,0,50.0
BOT,4.0,1.0,3,4.0,1,-0.23682233708971728,-0.23069933445171942,-0.20915947194765108,-0.2291220819582995,317.0,321.0,319.0,322.0,14.0,295.789,29.0,32.9,45.2,0.4,244,1,2021,0,49.0
BOT,5.0,1.0,3,5.0,1,-0.36857030062614954,-0.2534318374624612,-0.369182311489116,-0.3351734199636776,311.0,313.0,310.0,327.0,13.0,383.39,28.9,32.5,45.2,0.2,83,1,2021,0,48.0
BOT,6.0,1.0,3,6.0,1,-0.3898998973393243,-0.2818474662258886,-0.38225995810840363,-0.337092901194544,312.0,314.0,312.0,321.0,13.0,469.768,28.9,32.6,44.9,0.2,179,1,2021,0,47.0
BOT,7.0,1.0,3,7.0,1,-0.3262342829075739,-0.2721651038324239,-0.3156828480465761,-0.27351008542208866,313.0,320.0,313.0,320.0,13.0,555.948,28.7,32.8,44.5,0.2,243,1,2021,0,46.0
BOT,8.0,1.0,3,8.0,1,-0.15602841014587077,-0.19639009379661854,-0.17349316298595693,-0.12427041972221271,321.0,329.0,312.0,334.0,13.0,642.719,28.8,32.9,44.7,0.3,307,1,2021,0,45.0
BOT,9.0,1.0,3,9.0,1,-0.3028579067118211,-0.26648197807973906,-0.2712188495409978,-0.2727902799605137,325.0,322.0,312.0,323.0,12.0,731.07,29.0,32.9,44.0,0.3,235,1,2021,0,44.0
BOT,10.0,1.0,3,10.0,1,-0.253627473894038,-0.23785586317732305,-0.2738343788648551,-0.19313180887955161,318.0,326.0,318.0,328.0,12.0,818.058,28.9,33.1,43.9,0.3,351,1,2021,0,43.0
BOT,11.0,1.0,3,11.0,1,-0.33388277465825783,-0.3416255296985794,-0.32115168208736905,-0.205848372034042,324.0,320.0,315.0,349.0,11.0,905.503,28.7,33.1,44.0,0.5,190,1,2021,0,42.0
BOT,12.0,1.0,3,12.0,1,-0.2524424962988605,-0.2208064859192669,-0.19893513004529823,-0.2855068431150049,317.0,319.0,318.0,322.0,11.0,992.203,28.7,33.0,44.4,0.6,188,1,2021,0,41.0
BOT,13.0,1.0,3,13.0,1,-0.3450861991944711,-0.32941733363725517,-0.3159206234396535,-0.2499964403439734,310.0,310.0,312.0,340.0,10.0,1079.659,29.0,33.8,44.1,0.5,154,1,2021,0,40.0
BOT,14.0,1.0,3,14.0,1,-0.31546175931506165,-0.2561681572693101,-0.3104517893988606,-0.2730302151143723,312.0,313.0,312.0,320.0,10.0,1166.255,29.2,34.5,44.3,0.2,200,1,2021,0,39.0
BOT,15.0,1.0,3,15.0,1,-0.3068437404410515,-0.2835313553377952,-0.3156828480465761,-0.21736525941924187,317.0,317.0,313.0,324.0,10.0,1253.126,29.4,34.5,44.6,0.4,188,1,2021,0,38.0
BOT,16.0,1.0,3,16.0,1,-0.3054433123740243,-0.30521142765359466,-0.26741444325175007,-0.23823961780491576,325.0,326.0,316.0,334.0,10.0,1340.077,29.4,32.6,44.8,0.4,129,1,2021,0,37.0
BOT,17.0,1.0,3,17.0,1,-0.3255879314920231,-0.31384135935211704,-0.27050552336176387,-0.2701509932680723,311.0,309.0,311.0,343.0,9.0,1427.041,29.4,32.2,44.8,0.2,218,1,2021,0,36.0
BOT,18.0,1.0,3,18.0,1,-0.341315815937092,-0.2498535730996594,-0.3261449653420055,-0.32197698650147,312.0,312.0,312.0,319.0,9.0,1513.818,29.2,32.5,45.2,0.7,167,1,2021,0,35.0
BOT,19.0,1.0,3,19.0,1,-0.3377608831515626,-0.2896354533684573,-0.30094077367574246,-0.2941445086539048,315.0,316.0,314.0,326.0,9.0,1600.449,29.1,32.5,45.0,0.6,152,1,2021,0,34.0
BOT,20.0,1.0,3,20.0,1,-0.2955325906689126,-0.2172282215564651,-0.2636100369625031,-0.3202974404244614,318.0,323.0,313.0,306.0,9.0,1687.113,29.3,33.4,44.9,0.6,154,1,2021,0,33.0
BOT,21.0,1.0,3,21.0,1,-0.1929781660681903,-0.20228370568829276,-0.09692948641485484,-0.27710911272996364,293.0,316.0,314.0,344.0,9.0,1774.169,29.3,33.9,44.9,0.6,151,1,2021,0,32.0
BOT,22.0,1.0,3,22.0,1,-0.3621067864706416,-0.2757433681952265,-0.37037118845450556,-0.2941445086539048,311.0,307.0,310.0,345.0,8.0,1862.177,29.3,34.1,45.0,0.4,193,1,2021,0,31.0
BOT,23.0,1.0,3,23.0,1,-0.3405617392856155,-0.22880495920082422,-0.3420759166782287,-0.3282153005017863,310.0,310.0,312.0,316.0,8.0,1948.615,29.2,33.8,44.6,0.4,231,1,2021,1,30.0
BOT,24.0,1.0,3,24.0,1,-0.3825745812964158,-0.26437711668985525,-0.369182311489116,-0.3538883619646266,311.0,312.0,312.0,321.0,7.0,2035.253,29.2,32.6,44.7,0.5,177,1,2021,1,29.0
BOT,25.0,1.0,3,25.0,1,-0.32084802111131777,-0.2376453770383352,-0.31687172501196564,-0.29966301719264615,312.0,312.0,310.0,318.0,6.0,2121.501,29.1,31.0,44.9,0.4,185,1,2021,1,28.0
BOT,26.0,1.0,3,26.0,1,2.1795624299468437,-0.2715336454154589,2.0028650098565883,2.9672940377422594,315.0,177.0,307.0,325.0,5.0,2208.322,29.2,30.2,44.9,0.5,179,124,2021,1,27.0
BOT,27.0,2.0,2,1.0,1,-0.28287487544770923,5.050818865043926,2.5416640505712396,6.149793918519037,258.0,167.0,116.0,252.0,6.0,2318.354,29.3,30.2,44.9,0.5,179,4,2021,0,26.0
BOT,28.0,2.0,2,2.0,1,-0.28287487544770923,4.974833368869131,4.9534198625609625,5.732066815651699,157.0,255.0,197.0,129.0,6.0,2469.209,28.8,30.3,43.4,0.5,184,4,2021,0,25.0
BOT,29.0,2.0,2,3.0,1,6.440957312673085,3.306941203525456,6.1965096175725245,4.147774994725202,135.0,269.0,224.0,110.0,6.0,2628.078,28.7,32.1,43.7,0.1,150,4,2021,0,24.0
BOT,30.0,2.0,2,4.0,1,6.046144323007489,2.3479663542945404,6.60072778580505,3.9536674552538202,150.0,127.0,322.0,152.0,6.0,2777.668,29.0,28.5,44.9,0.3,162,41,2021,0,23.0
BOT,31.0,2.0,2,5.0,1,-0.18726872856415722,-0.20059981657638543,-0.1490022974989278,-0.2137662321113669,333.0,328.0,322.0,339.0,6.0,2923.593,29.3,27.6,44.8,0.4,152,1,2021,0,22.0
BOT,32.0,2.0,2,6.0,1,-0.3449784739585455,-0.35109740595305466,-0.2457768824816565,-0.29582405473091256,327.0,321.0,322.0,342.0,5.0,3011.654,29.3,28.1,44.7,0.5,151,12,2021,0,21.0
BOT,33.0,2.0,2,7.0,1,-0.3372222569719374,-0.3651999772652741,-0.1482889713196939,-0.3608464814265179,319.0,324.0,319.0,332.0,5.0,3098.251,29.4,28.0,44.6,0.3,152,1,2021,1,20.0
BOT,34.0,2.0,2,8.0,1,-0.5356521415460244,-0.4064552605069907,-0.44550821266714075,-0.4558608023544134,314.0,315.0,318.0,341.0,4.0,3184.92,29.4,28.1,44.4,0.1,247,1,2021,1,19.0
BOT,35.0,2.0,2,9.0,1,-0.4355753973715796,-0.3304697643321967,-0.4326683414409305,-0.33253413327123627,316.0,328.0,317.0,333.0,4.0,3269.747,29.4,27.8,44.1,0.1,0,1,2021,1,18.0
BOT,36.0,2.0,2,10.0,1,-0.41241447164767653,-0.32226080491165154,-0.34588032296747645,-0.3778818773504591,311.0,327.0,320.0,337.0,4.0,3355.503,29.4,27.8,43.9,0.5,157,1,2021,0,17.0
BOT,37.0,2.0,2,11.0,1,-0.38806856832859754,-0.31152601182324535,-0.26503668932097096,-0.4174711777370819,315.0,324.0,321.0,345.0,4.0,3441.474,29.4,27.5,44.0,0.4,154,1,2021,0,16.0
BOT,38.0,2.0,2,12.0,1,-0.35014928528295186,-0.32731247224737137,-0.26051895685248927,-0.31957763496288644,319.0,326.0,317.0,332.0,4.0,3527.671,29.4,27.2,44.0,0.6,171,1,2021,0,15.0
BOT,39.0,2.0,2,13.0,1,-0.4256646756664679,-0.33425851483398716,-0.3318515747758767,-0.40787377158274923,311.0,324.0,316.0,334.0,4.0,3614.22,29.4,27.5,43.3,0.7,155,1,2021,0,14.0
BOT,40.0,2.0,2,14.0,1,-0.4155385034895049,-0.29195080089732894,-0.34944695386364594,-0.4157916316600733,316.0,331.0,317.0,332.0,4.0,3700.068,29.3,26.8,42.7,0.6,165,1,2021,0,13.0
BOT,41.0,2.0,2,15.0,1,-0.4170466567924577,-0.2671134364967041,-0.37060896384758385,-0.4261088432759818,318.0,319.0,313.0,345.0,4.0,3786.01,29.2,23.5,42.1,0.3,176,12,2021,0,12.0
BOT,42.0,2.0,2,16.0,1,-0.44246981247078704,-0.3010017048738278,-0.3858265890045731,-0.42874812996842315,319.0,334.0,319.0,329.0,4.0,3871.938,29.2,24.0,41.6,0.4,335,1,2021,0,11.0
BOT,43.0,2.0,2,17.0,1,-0.24026954463932101,-0.36772581093313433,-0.0741030486793709,-0.21688538911152463,329.0,322.0,315.0,355.0,4.0,3957.63,29.4,22.9,40.5,0.2,169,12,2021,0,10.0
BOT,44.0,2.0,2,18.0,1,1.599246584018177,-0.24669628101483404,3.307063040889185,0.33040669683930646,236.0,260.0,319.0,336.0,4.0,4045.199,29.4,25.4,40.4,0.4,235,2671,2021,0,9.0
BOT,45.0,2.0,2,19.0,1,-0.46315305776841253,-0.3651999772652741,-0.36014684655215357,-0.42754845419913096,319.0,321.0,319.0,319.0,4.0,4149.844,29.4,25.7,39.6,0.4,206,1,2021,0,8.0
BOT,46.0,2.0,2,20.0,1,-0.43913033015710895,-0.2692182978865872,-0.41245743302930393,-0.43066761119928954,317.0,317.0,317.0,319.0,4.0,4235.344,29.4,25.5,39.4,0.3,188,1,2021,0,7.0
BOT,47.0,2.0,2,21.0,1,-0.448933326626295,-0.2997387880398977,-0.3972398078723155,-0.4330669627378731,314.0,315.0,316.0,329.0,4.0,4321.067,29.4,26.8,39.0,0.5,176,1,2021,0,6.0
BOT,48.0,2.0,2,22.0,1,-0.43880715444933355,-0.31173649796223396,-0.3950998293346138,-0.39899617088999073,317.0,317.0,317.0,327.0,4.0,4406.699,29.5,26.6,38.8,0.3,201,1,2021,0,5.0
BOT,49.0,2.0,2,23.0,1,-0.4860985330204643,-0.352149836647997,-0.48426560173884786,-0.36828447119612556,326.0,330.0,316.0,331.0,4.0,4492.425,29.6,26.9,38.6,0.2,141,1,2021,0,4.0
BOT,50.0,2.0,2,24.0,1,-0.45313461082737516,-0.34015212672566064,-0.3872532413630409,-0.40643416065959925,318.0,322.0,317.0,344.0,4.0,4577.712,29.6,27.6,38.3,0.5,158,1,2021,0,3.0
BOT,51.0,2.0,2,25.0,1,-0.44710199761556824,-0.34246747425453306,-0.3834488350737932,-0.3941974678128244,311.0,320.0,317.0,337.0,4.0,4663.305,29.6,29.0,38.2,0.6,139,1,2021,0,2.0
BOT,52.0,2.0,2,26.0,1,-0.496440155669277,-0.3266810138304063,-0.4652435702926108,-0.4395452118920472,323.0,321.0,316.0,328.0,4.0,4748.954,29.5,29.6,37.8,0.4,188,1,2021,0,1.0
BOT,53.0,2.0,2,27.0,1,-0.48792986203119254,-0.36667338023819285,-0.4024708665200302,-0.43834553612275584,320.0,319.0,316.0,336.0,4.0,4834.145,29.5,29.3,37.6,0.2,161,1,2021,0,0.0
